Gss year for this respondent                       ,Respondent income in constant dollars,Happiness of marriage,General happiness,Any opp. race in neighborhood,Political party affiliation,Number of persons in household,Race of respondent,"Highest year school completed, spouse",Highest year of school completed,Number of children,Number of brothers and sisters,Spouse labor force status,Marital status,Number of hours worked last week,Respondent id number,Ballot used for interview
1975,0,Not applicable,Pretty happy,No,Not str democrat,8,White,Not applicable,6,3,5,Not applicable,Widowed,Not applicable,54,Not applicable
1975,0,Not applicable,Very happy,No,Strong republican,1,White,Not applicable,16,2,8,Not applicable,Widowed,Not applicable,55,Not applicable
1975,90842,Very happy,Pretty happy,No,"Ind,near dem",4,White,13,13,2,0,Working fulltime,Married,50,56,Not applicable
1975,90842,Very happy,Very happy,Don't know,Not str republican,2,White,12,16,0,3,Keeping house,Married,40,57,Not applicable
1975,53780,Very happy,Pretty happy,Yes,Not str republican,2,White,14,12,0,1,Other,Married,40,58,Not applicable
1975,0,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,16,0,2,Not applicable,Never married,Not applicable,59,Not applicable
1975,38414,Very happy,Pretty happy,Not applicable,Strong democrat,2,Black,13,14,0,1,Working fulltime,Married,40,60,Not applicable
1975,53780,Not applicable,Pretty happy,Yes,"Ind,near rep",1,White,Not applicable,17,0,9,Not applicable,Never married,35,61,Not applicable
1975,16902,Not applicable,Pretty happy,Not applicable,Not str democrat,1,Black,Not applicable,12,0,4,Not applicable,Never married,40,62,Not applicable
1975,0,Not applicable,Very happy,Yes,Not str democrat,1,White,Not applicable,7,2,8,Not applicable,Widowed,Not applicable,63,Not applicable
1975,0,Not applicable,Not too happy,Yes,Not str democrat,1,White,Not applicable,9,0,8,Not applicable,Widowed,Not applicable,64,Not applicable
1975,10756,Not applicable,Pretty happy,Yes,Other party,2,White,Not applicable,12,1,2,Not applicable,Divorced,40,65,Not applicable
1975,0,Very happy,Very happy,Yes,Not str republican,2,White,9,6,2,1,Retired,Married,Not applicable,66,Not applicable
1975,27658,Not applicable,Pretty happy,Yes,"Ind,near dem",3,White,Not applicable,12,1,2,Not applicable,Never married,40,67,Not applicable
1975,6146,Very happy,Pretty happy,No,Not str democrat,5,White,11,12,3,1,Working fulltime,Married,25,68,Not applicable
1975,0,Very happy,Pretty happy,Yes,Independent,3,White,13,12,1,1,Working fulltime,Married,3,69,Not applicable
1975,38414,Not applicable,Pretty happy,Yes,"Ind,near rep",1,White,Not applicable,13,0,3,Not applicable,Never married,80,70,Not applicable
1975,10756,Pretty happy,Very happy,Yes,"Ind,near dem",2,White,14,14,0,1,Temp not working,Married,49,71,Not applicable
1975,19975,Not applicable,Very happy,Yes,Not str democrat,1,White,Not applicable,16,0,3,Not applicable,Never married,45,72,Not applicable
1975,10756,Not applicable,Not too happy,Yes,"Ind,near dem",1,White,Not applicable,16,3,2,Not applicable,Divorced,47,73,Not applicable
1975,6146,Very happy,Very happy,Yes,Not str republican,2,White,18,16,0,2,Working parttime,Married,40,74,Not applicable
1975,16902,Very happy,Pretty happy,No,"Ind,near dem",2,White,13,12,0,4,Working fulltime,Married,45,75,Not applicable
1975,23049,Very happy,Very happy,No,Independent,5,White,8,9,3,7,Working fulltime,Married,32,76,Not applicable
1975,0,Very happy,Pretty happy,Yes,"Ind,near rep",5,White,14,16,3,0,Working fulltime,Married,Not applicable,77,Not applicable
1975,38414,Very happy,Very happy,No,Not str democrat,5,White,8,7,2,5,Keeping house,Married,45,78,Not applicable
1975,53780,Very happy,Pretty happy,Yes,Not str democrat,4,White,12,12,2,3,Keeping house,Married,40,79,Not applicable
1975,0,Not applicable,Very happy,No,Not str democrat,1,White,Not applicable,14,0,1,Not applicable,Widowed,Not applicable,80,Not applicable
1975,0,Pretty happy,Not too happy,No,Strong democrat,2,White,11,6,6,2,Keeping house,Married,Not applicable,81,Not applicable
1975,38414,Not applicable,Very happy,No,Not str democrat,1,White,Not applicable,16,0,0,Not applicable,Divorced,50,82,Not applicable
1975,27658,Very happy,Pretty happy,No,Not str democrat,5,White,8,8,3,8,Working parttime,Married,Not applicable,83,Not applicable
1975,6146,Very happy,Pretty happy,Yes,"Ind,near dem",5,White,12,11,3,6,Working fulltime,Married,Not applicable,84,Not applicable
1975,53780,Pretty happy,Pretty happy,No,Strong democrat,3,White,12,12,1,1,Keeping house,Married,40,85,Not applicable
1975,13829,Very happy,Pretty happy,No,Strong democrat,2,White,12,12,0,0,Working fulltime,Married,Not applicable,86,Not applicable
1975,23049,Very happy,Not too happy,No,Not str republican,2,White,8,8,5,5,Keeping house,Married,24,87,Not applicable
1975,0,Very happy,Pretty happy,Yes,Strong democrat,4,White,12,12,2,3,Working fulltime,Married,Not applicable,88,Not applicable
1975,53780,Very happy,Pretty happy,No,Not str democrat,4,White,12,12,2,2,Keeping house,Married,39,89,Not applicable
1975,19975,Very happy,Pretty happy,No,Not str republican,2,White,17,12,0,2,Working fulltime,Married,40,90,Not applicable
1975,38414,Very happy,Very happy,No,"Ind,near dem",2,White,13,13,1,5,Keeping house,Married,40,91,Not applicable
1975,10756,Pretty happy,Pretty happy,Yes,Not str democrat,4,White,15,12,5,3,Working fulltime,Married,52,92,Not applicable
1975,69146,Very happy,Pretty happy,Not applicable,Strong democrat,3,Black,16,5,3,12,"Unempl, laid off",Married,56,93,Not applicable
1975,38414,Not applicable,Not too happy,Not applicable,Strong democrat,1,Black,Not applicable,12,3,12,Not applicable,Separated,40,94,Not applicable
1975,0,Not applicable,Pretty happy,No,Strong democrat,4,White,Not applicable,15,0,2,Not applicable,Never married,Not applicable,95,Not applicable
1975,0,Very happy,Very happy,No,Not str republican,2,White,16,10,2,3,Working fulltime,Married,Not applicable,96,Not applicable
1975,69146,Pretty happy,Pretty happy,No,Not str republican,4,White,10,8,4,3,Keeping house,Married,32,97,Not applicable
1975,23049,Not applicable,Pretty happy,No,Not str democrat,2,White,Not applicable,9,2,1,Not applicable,Widowed,Not applicable,98,Not applicable
1975,0,Pretty happy,Pretty happy,No,Independent,3,White,12,14,1,2,Working fulltime,Married,Not applicable,99,Not applicable
1975,19975,Not applicable,Not too happy,Not applicable,Independent,2,Black,Not applicable,12,1,10,Not applicable,Never married,37,100,Not applicable
1975,27658,Not applicable,Pretty happy,Not applicable,Not str democrat,1,Black,Not applicable,12,0,6,Not applicable,Never married,52,101,Not applicable
1975,1537,Not applicable,Pretty happy,Not applicable,Not str democrat,5,Black,Not applicable,13,0,4,Not applicable,Never married,Not applicable,102,Not applicable
1975,38414,Very happy,Pretty happy,No,Not str republican,3,Other,12,10,1,8,Working parttime,Married,40,103,Not applicable
1975,0,Very happy,Pretty happy,Yes,Strong democrat,2,White,8,8,3,10,Keeping house,Married,Not applicable,104,Not applicable
1975,38414,Not applicable,Very happy,No,Not str democrat,4,White,Not applicable,11,3,0,Not applicable,Divorced,40,105,Not applicable
1975,13829,Pretty happy,Not too happy,No,Strong democrat,2,White,12,17,1,2,Keeping house,Married,Not applicable,106,Not applicable
1975,0,Pretty happy,Very happy,No,Strong republican,2,White,8,8,2,6,Retired,Married,Not applicable,107,Not applicable
1975,6146,Pretty happy,Not too happy,No,Independent,3,White,12,12,1,1,Working fulltime,Married,40,108,Not applicable
1975,53780,Very happy,Very happy,Not applicable,Not str democrat,6,Black,7,9,2,16,Working fulltime,Married,40,109,Not applicable
1975,0,Very happy,Very happy,Yes,Not str republican,3,White,16,12,1,2,Working fulltime,Married,Not applicable,110,Not applicable
1975,38414,Not applicable,Pretty happy,Not applicable,Not str democrat,1,Black,Not applicable,12,0,6,Not applicable,Divorced,40,111,Not applicable
1975,38414,Pretty happy,Pretty happy,Not applicable,Strong democrat,5,Black,11,12,7,0,Working parttime,Married,32,112,Not applicable
1975,16902,Pretty happy,Pretty happy,Not applicable,Not str republican,5,Black,12,12,3,0,Working fulltime,Married,40,113,Not applicable
1975,0,Pretty happy,Pretty happy,Yes,Not str republican,6,White,14,12,4,1,Working fulltime,Married,Not applicable,114,Not applicable
1975,90842,Very happy,Pretty happy,Yes,Independent,4,White,16,14,5,0,Keeping house,Married,30,115,Not applicable
1975,13829,Not too happy,Very happy,Not applicable,Strong democrat,2,Black,9,14,1,7,Working fulltime,Married,40,116,Not applicable
1975,0,Not applicable,Very happy,Yes,Not str democrat,1,White,Not applicable,13,2,4,Not applicable,Widowed,Not applicable,117,Not applicable
1975,0,Not applicable,Pretty happy,Yes,Strong republican,1,White,Not applicable,14,0,4,Not applicable,Widowed,Not applicable,118,Not applicable
1975,0,Very happy,Pretty happy,Yes,Independent,3,White,16,13,2,2,Working fulltime,Married,Not applicable,119,Not applicable
1975,0,Not applicable,Not too happy,Yes,Not str republican,1,White,Not applicable,7,1,8,Not applicable,Widowed,Not applicable,120,Not applicable
1975,27658,Pretty happy,Pretty happy,No,Independent,5,White,12,7,2,5,Working parttime,Married,40,121,Not applicable
1975,0,Very happy,Very happy,No,Not str democrat,2,White,11,10,3,4,Working fulltime,Married,Not applicable,122,Not applicable
1975,0,Pretty happy,Pretty happy,No,Not str democrat,3,White,14,11,3,2,Working fulltime,Married,Not applicable,123,Not applicable
1975,0,Very happy,Very happy,No,"Ind,near dem",3,White,13,11,1,4,Working fulltime,Married,Not applicable,124,Not applicable
1975,27658,Not applicable,Pretty happy,Yes,"Ind,near dem",2,White,Not applicable,12,0,4,Not applicable,Never married,Not applicable,125,Not applicable
1975,53780,Not applicable,Very happy,Yes,"Ind,near rep",1,White,Not applicable,17,0,3,Not applicable,Never married,42,126,Not applicable
1975,53780,Very happy,Very happy,Yes,Strong democrat,6,White,12,11,5,6,Keeping house,Married,40,127,Not applicable
1975,38414,Very happy,Very happy,Yes,Not str democrat,2,White,12,12,0,7,Keeping house,Married,Not applicable,128,Not applicable
1975,38414,Very happy,Pretty happy,No,Not str democrat,5,White,12,11,3,3,Keeping house,Married,40,129,Not applicable
1975,69146,Very happy,Pretty happy,Yes,Not str republican,5,White,16,13,3,2,Keeping house,Married,40,130,Not applicable
1975,38414,Very happy,Very happy,Yes,Not str democrat,2,White,12,13,2,1,Working fulltime,Married,Not applicable,131,Not applicable
1975,23049,Pretty happy,Pretty happy,Yes,Not str republican,7,White,16,16,6,5,Working fulltime,Married,24,132,Not applicable
1975,0,Not applicable,Very happy,No,Independent,5,White,Not applicable,12,0,4,Not applicable,Widowed,Not applicable,133,Not applicable
1975,23049,Not applicable,Very happy,No,Not str republican,1,White,Not applicable,10,0,2,Not applicable,Never married,40,134,Not applicable
1975,38414,Not applicable,Pretty happy,No,"Ind,near dem",2,White,Not applicable,18,2,2,Not applicable,Divorced,40,135,Not applicable
1975,53780,Not applicable,Pretty happy,No,"Ind,near dem",1,White,Not applicable,17,0,0,Not applicable,Widowed,48,136,Not applicable
1975,0,Not applicable,Pretty happy,No,Not str republican,1,White,Not applicable,12,1,7,Not applicable,Widowed,Not applicable,137,Not applicable
1975,0,Very happy,Very happy,No,Not str republican,2,White,8,8,1,5,Keeping house,Married,Not applicable,138,Not applicable
1975,16902,Not applicable,Pretty happy,Don't know,"Ind,near rep",4,White,Not applicable,12,0,3,Not applicable,Never married,42,139,Not applicable
1975,69146,Pretty happy,Pretty happy,No,Strong republican,5,White,18,16,3,7,Keeping house,Married,34,140,Not applicable
1975,27658,Not applicable,Very happy,No,Strong republican,1,White,Not applicable,14,3,2,Not applicable,Widowed,35,141,Not applicable
1975,0,Very happy,Pretty happy,Don't know,"Ind,near rep",4,White,16,19,2,2,Keeping house,Married,50,142,Not applicable
1975,90842,Very happy,Very happy,No,Not str democrat,6,White,12,12,Eight or more,9,Temp not working,Married,Not applicable,143,Not applicable
1975,0,Very happy,Pretty happy,No,Strong republican,2,White,16,15,3,5,Working fulltime,Married,Not applicable,144,Not applicable
1975,27658,Not applicable,Pretty happy,No,Independent,1,White,Not applicable,12,3,1,Not applicable,Widowed,70,145,Not applicable
1975,16902,Not applicable,Not too happy,Yes,"Ind,near dem",1,White,Not applicable,14,0,0,Not applicable,Never married,48,146,Not applicable
1975,0,Very happy,Very happy,No,Not str republican,2,White,16,12,2,7,Retired,Married,Not applicable,147,Not applicable
1975,38414,Very happy,Very happy,No,"Ind,near dem",4,White,10,13,1,3,Keeping house,Married,48,148,Not applicable
1975,27658,Not applicable,Pretty happy,No,Not str republican,1,White,Not applicable,11,2,0,Not applicable,Widowed,40,149,Not applicable
1975,0,Pretty happy,Pretty happy,No,Independent,3,White,12,12,1,5,Working fulltime,Married,Not applicable,150,Not applicable
1975,6146,Very happy,Very happy,No,Strong republican,2,White,12,12,3,0,Other,Married,Not applicable,151,Not applicable
1975,1537,Very happy,Pretty happy,No,Not str democrat,4,White,14,14,2,3,Working fulltime,Married,Not applicable,152,Not applicable
1975,38414,Pretty happy,Pretty happy,No,Strong democrat,6,White,12,12,4,0,Keeping house,Married,Not applicable,153,Not applicable
1975,0,Pretty happy,Not too happy,No,"Ind,near rep",3,White,14,13,1,2,Working fulltime,Married,Not applicable,154,Not applicable
1975,16902,Pretty happy,Pretty happy,No,"Ind,near dem",2,White,19,12,0,5,School,Married,40,155,Not applicable
1975,0,Very happy,Very happy,No,Strong republican,2,White,14,12,2,13,Keeping house,Married,Not applicable,156,Not applicable
1975,69146,Pretty happy,Pretty happy,No,Strong republican,2,White,16,16,2,2,Working fulltime,Married,45,157,Not applicable
1975,0,Very happy,Very happy,No,Strong democrat,2,White,9,9,7,12,Retired,Married,Not applicable,158,Not applicable
1975,6146,Very happy,Very happy,Yes,Independent,5,White,10,12,3,6,Working fulltime,Married,15,159,Not applicable
1975,69146,Pretty happy,Not too happy,Yes,Strong republican,5,White,18,16,3,1,Keeping house,Married,Not applicable,160,Not applicable
1975,0,Very happy,Very happy,No,Strong democrat,4,White,16,12,4,4,Temp not working,Married,Not applicable,161,Not applicable
1975,90842,Very happy,Pretty happy,Yes,Strong republican,4,White,12,16,4,9,Working parttime,Married,50,162,Not applicable
1975,23049,Very happy,Very happy,Yes,Not str republican,8,White,14,20,7,0,Working parttime,Married,45,163,Not applicable
1975,6146,Pretty happy,Pretty happy,Yes,Independent,3,White,19,14,2,0,Working fulltime,Married,3,164,Not applicable
1975,0,Not applicable,Very happy,Yes,"Ind,near rep",1,White,Not applicable,8,4,1,Not applicable,Widowed,Not applicable,165,Not applicable
1975,38414,Very happy,Pretty happy,Yes,Not str democrat,2,White,12,8,3,9,Keeping house,Married,Not applicable,166,Not applicable
1975,0,Not applicable,Pretty happy,No,Not str republican,1,White,Not applicable,13,1,11,Not applicable,Divorced,Not applicable,167,Not applicable
1975,1537,Not applicable,Not too happy,Yes,Strong democrat,3,White,Not applicable,12,0,2,Not applicable,Never married,30,168,Not applicable
1975,38414,Very happy,Pretty happy,Yes,Strong democrat,10,White,12,10,Eight or more,3,Keeping house,Married,40,169,Not applicable
1975,13829,Very happy,Very happy,No,Not str republican,5,White,12,12,3,3,Working fulltime,Married,40,170,Not applicable
1975,16902,Not applicable,Pretty happy,No,Not str republican,3,White,Not applicable,12,0,2,Not applicable,Never married,40,171,Not applicable
1975,13829,Not applicable,Pretty happy,No,Not str democrat,2,White,Not applicable,12,0,2,Not applicable,Divorced,40,172,Not applicable
1975,13829,Very happy,Very happy,No,"Ind,near rep",2,White,14,14,0,3,Working fulltime,Married,89,173,Not applicable
1975,10756,Not applicable,Pretty happy,Yes,"Ind,near rep",4,White,Not applicable,12,0,1,Not applicable,Never married,43,174,Not applicable
1975,13829,Pretty happy,Pretty happy,No,Not str republican,2,White,12,12,0,2,Working fulltime,Married,46,175,Not applicable
1975,27658,Very happy,Pretty happy,No,Strong republican,2,White,16,16,0,4,Working fulltime,Married,45,176,Not applicable
1975,0,Very happy,Pretty happy,No,Not str republican,3,White,8,12,2,2,Working fulltime,Married,Not applicable,177,Not applicable
1975,13829,Very happy,Pretty happy,Yes,Strong republican,2,White,12,8,3,6,Keeping house,Married,20,178,Not applicable
1975,0,Not applicable,Pretty happy,Yes,"Ind,near rep",1,White,Not applicable,13,0,3,Not applicable,Never married,40,179,Not applicable
1975,27658,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,17,0,3,Not applicable,Divorced,40,180,Not applicable
1975,0,Not applicable,Very happy,No,Strong democrat,4,White,Not applicable,10,0,2,Not applicable,Never married,Not applicable,181,Not applicable
1975,53780,Very happy,Very happy,Yes,Independent,3,White,12,9,1,4,Keeping house,Married,26,182,Not applicable
1975,0,Not applicable,Pretty happy,Yes,Not str republican,1,White,Not applicable,5,1,1,Not applicable,Widowed,Not applicable,183,Not applicable
1975,0,Not applicable,Pretty happy,Not applicable,Not str democrat,3,Black,Not applicable,12,2,1,Not applicable,Separated,Not applicable,184,Not applicable
1975,1537,Not applicable,Pretty happy,Yes,Not str democrat,3,White,Not applicable,8,2,4,Not applicable,Never married,Not applicable,185,Not applicable
1975,0,Not applicable,Pretty happy,Yes,Strong democrat,1,White,Not applicable,6,0,0,Not applicable,Widowed,Not applicable,186,Not applicable
1975,23049,Not applicable,Not too happy,No,"Ind,near rep",2,White,Not applicable,13,1,1,Not applicable,Divorced,40,187,Not applicable
1975,0,Not applicable,Not too happy,No,Strong democrat,2,White,Not applicable,8,2,8,Not applicable,Widowed,Not applicable,188,Not applicable
1975,0,Pretty happy,Pretty happy,No,Strong republican,2,White,8,15,3,1,Working fulltime,Married,62,189,Not applicable
1975,13829,Not applicable,Pretty happy,No,Not str republican,6,White,Not applicable,11,0,3,Not applicable,Never married,33,190,Not applicable
1975,6146,Not applicable,Not too happy,No,"Ind,near dem",2,White,Not applicable,15,0,0,Not applicable,Never married,Not applicable,191,Not applicable
1975,0,Very happy,Pretty happy,No,Strong democrat,4,White,11,7,2,2,Working fulltime,Married,Not applicable,192,Not applicable
1975,90842,Very happy,Pretty happy,No,"Ind,near dem",2,White,12,12,1,2,Keeping house,Married,40,193,Not applicable
1975,53780,Pretty happy,Pretty happy,No,Not str republican,5,White,12,16,4,1,Working parttime,Married,40,194,Not applicable
1975,10756,Very happy,Pretty happy,Yes,Not str republican,4,White,18,14,3,3,Working fulltime,Married,25,195,Not applicable
1975,38414,Very happy,Pretty happy,No,Strong republican,3,White,18,17,3,3,Working fulltime,Married,40,196,Not applicable
1975,6146,Pretty happy,Pretty happy,Not applicable,Strong democrat,8,Black,5,10,6,4,Other,Married,15,197,Not applicable
1975,13829,Not applicable,Very happy,Not applicable,Strong democrat,3,Black,Not applicable,12,2,3,Not applicable,Separated,38,198,Not applicable
1975,23049,Not applicable,Very happy,Yes,Not str democrat,2,White,Not applicable,16,0,8,Not applicable,Never married,48,199,Not applicable
1975,19975,Not applicable,Not too happy,Not applicable,Strong democrat,5,Black,Not applicable,10,4,0,Not applicable,Divorced,40,200,Not applicable
1975,0,Not applicable,Very happy,Not applicable,Not str democrat,4,Black,Not applicable,11,0,1,Not applicable,Never married,Not applicable,201,Not applicable
1975,0,Very happy,Very happy,Yes,Not str democrat,3,White,14,12,2,3,Working fulltime,Married,Not applicable,202,Not applicable
1975,90842,Very happy,Not too happy,No,Not str democrat,9,White,11,12,7,6,Working fulltime,Married,50,203,Not applicable
1975,0,Pretty happy,Not too happy,No,Independent,4,White,12,10,2,1,Working fulltime,Married,Not applicable,204,Not applicable
1975,10756,Very happy,Pretty happy,No,Not str democrat,3,White,12,11,1,6,Working fulltime,Married,35,205,Not applicable
1975,0,Not applicable,Very happy,Yes,Not str republican,2,White,Not applicable,17,2,1,Not applicable,Widowed,Not applicable,206,Not applicable
1975,0,Not applicable,Very happy,Yes,Not str democrat,1,White,Not applicable,12,0,9,Not applicable,Widowed,Not applicable,207,Not applicable
1975,38414,Not applicable,Very happy,Don't know,Strong republican,1,White,Not applicable,14,0,2,Not applicable,Divorced,48,208,Not applicable
1975,6146,Not applicable,Pretty happy,No,Not str democrat,1,White,Not applicable,11,0,9,Not applicable,Widowed,40,209,Not applicable
1975,0,Not applicable,Not too happy,No,Not str republican,2,White,Not applicable,8,0,1,Not applicable,Never married,Not applicable,210,Not applicable
1975,0,Very happy,Pretty happy,No,Independent,4,White,10,9,3,7,Working fulltime,Married,Not applicable,211,Not applicable
1975,0,Very happy,Pretty happy,No,Independent,2,White,6,10,5,13,Retired,Married,Not applicable,212,Not applicable
1975,0,Pretty happy,Pretty happy,No,Not str democrat,5,White,10,11,3,2,Temp not working,Married,Not applicable,213,Not applicable
1975,0,Not applicable,Pretty happy,No,Not str democrat,1,White,Not applicable,7,7,9,Not applicable,Widowed,16,214,Not applicable
1975,53780,Very happy,Very happy,No,"Ind,near dem",4,White,16,12,2,2,Keeping house,Married,45,215,Not applicable
1975,10756,Not applicable,Pretty happy,Yes,Independent,2,White,Not applicable,12,Dk na,2,Not applicable,Never married,40,216,Not applicable
1975,6146,Not applicable,Pretty happy,Yes,Not str republican,3,White,Not applicable,16,0,2,Not applicable,Never married,39,217,Not applicable
1975,0,Not applicable,Not too happy,Yes,Independent,3,White,Not applicable,16,0,1,Not applicable,Never married,20,218,Not applicable
